time,livetime,counts,countrate
2018-09-28T18:47:48.000,0.7116396714531407,0,0.0
2018-09-28T18:47:49.000,0.7483189789237494,0,0.0
2018-09-28T18:47:50.000,0.7414155359775597,0,0.0
2018-09-28T18:47:51.000,0.7118843157651982,0,0.0
2018-09-28T18:47:52.000,0.6941887023674039,0,0.0
2018-09-28T18:47:53.000,0.7614359609796745,0,0.0
2018-09-28T18:47:54.000,0.7164872900097852,0,0.0
2018-09-28T18:47:55.000,0.7025184275286668,0,0.0
2018-09-28T18:47:56.000,0.6971720168727367,0,0.0
2018-09-28T18:47:57.000,0.7288763375551207,0,0.0
2018-09-28T18:47:58.000,0.6885461585124206,0,0.0
2018-09-28T18:47:59.000,0.7132078299353182,0,0.0
2018-09-28T18:48:00.000,0.7110802999947525,0,0.0
2018-09-28T18:48:01.000,0.6778729457735697,0,0.0
2018-09-28T18:48:02.000,0.68222505168029,0,0.0
2018-09-28T18:48:03.000,0.6685564173364336,0,0.0
2018-09-28T18:48:04.000,0.679024648910049,0,0.0
2018-09-28T18:48:05.000,0.6957927626562985,0,0.0
2018-09-28T18:48:06.000,0.6303812286998016,0,0.0
2018-09-28T18:48:07.000,0.668124396501976,0,0.0
2018-09-28T18:48:08.000,0.6903958244168134,0,0.0
2018-09-28T18:48:09.000,0.6297807273983873,0,0.0
2018-09-28T18:48:10.000,0.639647156571623,0,0.0
2018-09-28T18:48:11.000,0.6681071599312371,0,0.0
2018-09-28T18:48:12.000,0.6689435329307396,0,0.0
2018-09-28T18:48:13.000,0.7072924245464054,0,0.0
2018-09-28T18:48:14.000,0.6480274286559196,0,0.0
2018-09-28T18:48:15.000,0.6565970775257854,0,0.0
2018-09-28T18:48:16.000,0.6682300551835028,0,0.0
2018-09-28T18:48:17.000,0.6551145592555662,0,0.0
2018-09-28T18:48:18.000,0.6587487980854035,0,0.0
2018-09-28T18:48:19.000,0.6728130705915559,0,0.0
2018-09-28T18:48:20.000,0.6775248757499984,0,0.0
2018-09-28T18:48:21.000,0.7246593557955259,0,0.0
2018-09-28T18:48:22.000,0.6754468786944013,0,0.0
2018-09-28T18:48:23.000,0.6635425606871951,0,0.0
2018-09-28T18:48:24.000,0.6903670872200257,0,0.0
2018-09-28T18:48:25.000,0.6819256573420432,0,0.0
2018-09-28T18:48:26.000,0.6752614855964394,0,0.0
2018-09-28T18:48:27.000,0.7210795373803895,0,0.0
2018-09-28T18:48:28.000,0.6795967554136987,0,0.0
2018-09-28T18:48:29.000,0.6957323506475048,0,0.0
2018-09-28T18:48:30.000,0.7036076889972668,0,0.0
2018-09-28T18:48:31.000,0.7272006302235314,0,0.0
2018-09-28T18:48:32.000,0.7141691351053225,83,116.21896819688172
2018-09-28T18:48:33.000,0.690417921053697,110,159.32379019380173
2018-09-28T18:48:34.000,0.7299257686308752,90,123.300209237459
2018-09-28T18:48:35.000,0.7477052087259912,72,96.29463478351343
2018-09-28T18:48:36.000,0.733444905532212,80,109.07431409854752
2018-09-28T18:48:37.000,0.6931686804786044,94,135.6091275432365
2018-09-28T18:48:38.000,0.7321882024483559,79,107.89575649516448
2018-09-28T18:48:39.000,0.6958796680075948,91,130.76973532011115
2018-09-28T18:48:40.000,0.7199398141898431,85,118.0654248100607
2018-09-28T18:48:41.000,0.7034825202708385,91,129.35644792562195
2018-09-28T18:48:42.000,0.7012906479094224,96,136.89046087550167
2018-09-28T18:48:43.000,0.7001330662116666,89,127.11869256735436
2018-09-28T18:48:44.000,0.7098402015603101,93,131.01540289712437
2018-09-28T18:48:45.000,0.6939392703775352,79,113.8428150305146
2018-09-28T18:48:46.000,0.70898457134176,93,131.1735173926234
2018-09-28T18:48:47.000,0.6909775503240367,89,128.8030268975643
2018-09-28T18:48:48.000,0.6846329570188884,97,141.68175663404978
2018-09-28T18:48:49.000,0.6728541272230364,99,147.1344173938368
2018-09-28T18:48:50.000,0.6774586871956086,96,141.70605796996898
2018-09-28T18:48:51.000,0.6721721341109738,100,148.77141572115556
2018-09-28T18:48:52.000,0.7202680528244702,82,113.8465043374393
2018-09-28T18:48:53.000,0.7027105101754401,96,136.6138667486736
2018-09-28T18:48:54.000,0.6769737954176877,100,147.71620508338992
2018-09-28T18:48:55.000,0.6950679901577048,86,123.7289030969292
2018-09-28T18:48:56.000,0.677702309062319,100,147.5574137239724
2018-09-28T18:48:57.000,0.6714685864516203,90,134.0345651545749
2018-09-28T18:48:58.000,0.672555374826058,103,153.14724088947878
2018-09-28T18:48:59.000,0.718114520288377,86,119.75805748289916
2018-09-28T18:49:00.000,0.6984115589829709,96,137.45476970598182
2018-09-28T18:49:01.000,0.6788661545726513,94,138.46617535259708
2018-09-28T18:49:02.000,0.6677329750695997,106,158.74609156295048
2018-09-28T18:49:03.000,0.6804612355254773,99,145.48955154447341
2018-09-28T18:49:04.000,0.6677953509524048,105,157.2337990227841
2018-09-28T18:49:05.000,0.7249749433248739,84,115.86607340490959
2018-09-28T18:49:06.000,0.7184921174378757,87,121.08692341711382
2018-09-28T18:49:07.000,0.6761083310646686,101,149.3843447261701
2018-09-28T18:49:08.000,0.6889775942120528,93,134.98261885621864
2018-09-28T18:49:09.000,0.6687279535589893,98,146.5468872333528
2018-09-28T18:49:10.000,0.6561700523291686,109,166.11547511668516
2018-09-28T18:49:11.000,0.7078877391708217,89,125.72614988959887
